Nome scuola,Indirizzo,Grado,Forma,Sito
SULL’ARCOBALENO,Via Giosuè Carducci 10 37060 Lugagnano di Sona (VR),Asilo nido,Pubblica,https://www.facebook.com/p/Asilo-nido-SullArcobaleno-100063516431226/ 
Cav. Girelli,Via Cavalier Antonio Girelli 37060 Palazzolo di Sona (VR),Infanzia,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VR1A04500B/scuola-materna-cavantonio-girelli/ 
Don Eliseo Panardo,Via Santini 7 37060 San Giorgio in Salici (VR),Infanzia,Pubblica,http://www.scuoladep.it/ 
Don Fracasso,Via Don Fracasso 3 37060 Lugagnano di Sona (VR),Infanzia,Pubblica,https://www.infanzialugagnano.it/it/scuola-infanzia-lugagnano 
Cavalier Romani,Via Roma 21 37060 Sona (VR),Infanzia,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VRAA814016/cavalier-annibale-romani/ 
Statale di Lugagnano di Sona,via Papa Giovanni Paolo II 37060 Lugagnano di Sona (VR)   ,Infanzia,Pubblica,https://www.iclugagnano.edu.it/pagine/infanzia 
A. Aleardi,Via Roma 21 37060 Sona (VR),Primaria,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE81403D/sona-aleardi-a/ 
Don G.Bosco,Via Castello 5 37060 Palazzolo di Sona VR,Primaria,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE81402C/palazzolo-sgiovanni-bosco/ 
C.Collodi,Via Celà 37060 San Giorgio in Salici VR,Primaria,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE88403Q/collodi-c/ 
Primaria statale Silvio Pellico,Via Don Minzoni 2 37060 Lugagnano VR,Primaria,Pubblica,https://www.icspellicolettere.edu.it/ 
Virgilio,Via Giovan Battista Pergolesi 13 37060 Sona VR,Secondaria I Grado,Pubblica,https://www.icsona.edu.it/ 
Anna Frank,Via Giosuè Carducci 10 37060 Lugagnano di Sona (VR),Secondaria I Grado,Pubblica,https://www.iclugagnano.edu.it/pagine/secondaria-anna-frank 
Angolo delle Coccole,Via Don Fracasso 1 37060 Sona VR,Asilo nido,Privata,http://www.langolodellecoccole.it/ 
