Nome scuola,Indirizzo,Grado,Forma,Sito web
"Istituto Comprensivo Statale ""Don Lorenzo Milani""",Via Bassa 6 37066 Sommacampagna VR,Istituto Comprensivo,Statale,https://www.icsommacampagna.edu.it/ 
"Scuola dell'infanzia Statale ""Il Girasole""",Piazzale della Pace 1 37066 Sommacampagna,Infanzia,Statale,https://www.icsommacampagna.edu.it/scuola-infanzia-il-girasole/ 
"Scuola Primaria ""Don L.  Milani""",Via Bassa 6 37066 Sommacampagna VR,Primaria,Statale,https://www.icsommacampagna.edu.it/scuola-primaria-don-lorenzo-milani/ 
"Scuola Primaria ""San Domenico Savio"" ",Via Roma 114 37066 Caselle - Sommacampagna VR,Primaria,Statale,https://www.icsommacampagna.edu.it/scuola-primaria-san-domenico-savio-caselle/ 
"Scuola Secondaria di Primo Grado ""Dante Alighieri""",Via Campagnol 8 37066 Sommacampagna VR,Secondaria di Primo Grado,Statale,https://www.icsommacampagna.edu.it/scuola-secondaria-dante-alighieri-di-sommacampagna/ 
Scuola Secondaria di Primo Grado Caselle,Via Don Luigi Bogoni -37066 Caselle - Sommacampagna,Secondaria di Primo Grado,Statale,https://www.icsommacampagna.edu.it/scuola-secondaria-di-caselle-sommacampagna/   
"Associazione Scuola Materna ""Giannantonio Campostrini""",Via Parco della Rimembranza 2 37066 Sommacampagna VR,Infanzia,Paritaria,https://www.scuolamaternacampostrini.it/  
"Scuola dell'Infanzia ""Ad Onore degli Eroi""",Via Roma 110 37066 Caselle – Sommacampagna,Infanzia,Paritaria,https://www.scuolainfanziacaselle.com/contatti 
"Scuola Materna ""Divina Provvidenza""",Via XXIV Giugno n. 11 37066 Custoza Sommacampagna VR,Infanzia,Paritaria,https://it-it.facebook.com/ASILO.CUSTOZA/ 
"Centro Infanzia ""Terre d'Infanzia""",Via Longo 24 37066 Sommacampagna VR,infanzia,Paritaria,https://www.linfanzia.it/servizi-offerti/terre-dinfanzia/ 
